,home_run,league,name
0,32.0,NL,Colorado Rockies
1,20.0,AL,Kansas City Royals
2,23.0,AL,Detroit Tigers
3,21.0,AL,Texas Rangers
4,31.0,AL,New York Yankees
5,16.0,NL,Arizona Diamondbacks
6,27.0,AL,Seattle Mariners
7,18.0,NL,Miami Marlins
8,27.0,NL,Milwaukee Brewers
9,15.0,NL,San Francisco Giants
10,25.0,NL,Cincinnati Reds
11,24.0,NL,Washington Nationals
12,12.0,NL,Atlanta Braves
13,27.0,AL,Minnesota Twins
14,14.0,NL,Pittsburgh Pirates
15,26.0,AL,Houston Astros
16,34.0,AL,Toronto Blue Jays
17,16.0,AL,Boston Red Sox
18,30.0,AL,Baltimore Orioles
19,19.0,AL,Tampa Bay Rays
20,13.0,NL,St. Louis Cardinals
21,17.0,AL,Oakland Athletics
22,18.0,AL,Cleveland Indians
23,25.0,NL,Los Angeles Dodgers
24,13.0,AL,Chicago White Sox
25,24.0,NL,New York Mets
26,33.0,AL,Los Angeles Angels
27,21.0,NL,San Diego Padres
28,8.0,NL,Philadelphia Phillies
29,19.0,NL,Chicago Cubs
